0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,4,3,4,3,4,3,4,3,4,3,4,0,3,4,3,4,3,4,3,4,3,4,3,4,
18,19,5,6,5,6,5,6,5,6,5,6,0,5,6,5,6,5,6,5,6,5,6,18,19,
3,4,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,
18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,18,19,
3,4,0,0,0,0,3,4,3,4,13,14,13,14,3,4,3,4,3,4,0,0,0,3,4,
18,19,0,0,0,0,18,19,18,19,0,0,0,0,18,19,18,19,18,19,0,0,0,18,19,
3,4,0,0,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,0,0,0,3,4,
18,19,0,0,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,0,3,4,18,19,
3,4,0,0,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,0,5,6,3,4,
18,19,0,0,18,19,18,19,5,6,5,6,5,6,5,6,5,6,18,19,0,13,14,18,19,
3,4,0,0,3,4,3,4,0,0,0,0,0,13,14,0,0,0,3,4,0,0,0,3,4,
18,19,0,0,18,19,5,6,0,0,0,0,0,0,0,0,0,0,18,19,0,0,0,18,19,
3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,3,4,
18,19,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,6,0,18,19,
3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,
18,19,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,
3,4,0,0,3,4,13,14,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,3,4,
18,19,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,
3,4,0,0,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,3,4,
18,19,13,14,18,19,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,
3,4,0,0,3,4,3,4,3,4,0,0,0,13,14,3,4,3,4,3,4,3,4,3,4,
18,19,0,0,18,19,18,19,18,19,0,0,0,0,0,18,19,18,19,18,19,18,19,18,19,
3,4,3,4,3,4,3,4,3,4,3,4,0,3,4,3,4,3,4,3,4,3,4,3,4,
5,6,5,6,5,6,5,6,5,6,5,6,0,5,6,5,6,5,6,5,6,5,6,5,6
