0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,12,11,11,11,11,12,11,11,11,11,11,11,11,11,12,11,11,11,12,0,0,
0,0,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,0,0,11,0,0,
0,0,12,11,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,11,0,0,
0,0,11,12,11,11,0,0,0,0,11,11,11,11,0,0,0,0,0,0,11,11,12,0,0,
0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,
0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,
0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,
0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,
0,0,11,11,0,0,0,0,11,11,12,11,11,0,0,11,11,12,0,0,11,11,12,0,0,
0,0,12,11,0,0,0,0,11,11,11,11,11,11,11,12,11,11,0,0,11,11,11,0,0,
0,0,11,11,0,0,12,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,11,0,0,
0,0,11,12,0,0,11,11,11,11,11,11,12,11,11,11,11,11,0,0,0,0,11,0,0,
0,0,11,11,0,0,11,11,11,11,11,11,11,11,11,11,12,11,12,11,11,11,12,0,0,
0,0,11,11,0,0,11,11,12,11,11,11,11,11,11,11,11,11,11,12,11,11,11,0,0,
0,0,11,11,0,0,0,0,11,11,11,11,11,11,11,0,0,12,11,11,11,11,11,0,0,
0,0,12,11,0,0,11,11,11,11,12,11,11,11,12,11,11,11,11,11,11,12,11,0,0,
0,0,11,11,0,0,0,0,12,11,11,12,11,11,11,11,12,11,12,11,12,0,0,0,0,
0,0,0,0,0,0,0,0,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,0,0,
0,0,11,11,0,0,0,0,0,0,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,11,11,0,0,0,0,0,0,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
