33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,
41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,
49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,
57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,
33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,
41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,
49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,
57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,
33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,
41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,
49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,
57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,
33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,33,34,35,36,
41,42,43,44,41,42,43,44,41,42,409,410,411,42,43,44,41,42,43,44,41,42,43,44,
49,50,51,52,49,50,51,52,49,50,417,418,419,50,51,52,49,50,51,52,49,50,51,52,
57,58,59,60,57,58,59,60,57,58,417,418,419,58,59,60,57,58,59,60,57,58,59,60,
33,34,35,36,33,34,35,36,33,34,417,418,419,34,35,36,33,34,35,36,33,34,35,36,
41,42,43,44,41,42,43,44,41,42,417,418,419,42,43,44,41,42,43,44,41,42,43,44,
49,50,51,52,49,50,51,52,49,50,417,418,419,50,51,52,49,50,51,52,49,50,51,52,
57,58,59,60,57,58,59,60,57,58,417,418,419,58,59,60,57,58,59,60,57,58,59,60,
33,34,35,36,33,34,35,36,33,34,425,426,427,34,35,36,33,34,35,36,33,34,35,36,
41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,41,42,43,44,
49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,49,50,51,52,
57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60,57,58,59,60
